Dataset,Docs,Variant,Precision@5,Precision@10,Precision@20,Recall@10,F1@10,Success Rate
news,1000,boolean_custom,0.163,0.2537,0.1269,0.3366,0.2686,54/100
news,1000,wordcount_custom,0.2778,0.3574,0.1787,0.4403,0.3723,54/100
news,1000,tfidf_custom,0.2815,0.3833,0.1917,0.4662,0.3982,54/100
news,1000,tfidf_rocksdb,0.2684,0.3421,0.1711,0.4479,0.358,76/100
news,1000,tfidf_skip,0.275,0.3661,0.183,0.454,0.3803,56/100
news,1000,tfidf_gap,0.275,0.3661,0.183,0.454,0.3803,56/100
news,1000,tfidf_gzip,0.2815,0.3833,0.1917,0.4662,0.3982,54/100
news,1000,tfidf_threshold,0.283,0.3887,0.1943,0.4561,0.4023,53/100
news,1000,tfidf_earlystop,0.2815,0.3833,0.1917,0.4662,0.3982,54/100
news,5000,boolean_custom,0.122,0.1559,0.078,0.2216,0.1703,59/100
news,5000,wordcount_custom,0.1695,0.2492,0.1246,0.3148,0.2635,59/100
news,5000,tfidf_custom,0.2,0.2627,0.1314,0.3284,0.277,59/100
news,5000,tfidf_rocksdb,0.1586,0.2103,0.1052,0.2853,0.223,87/100
news,5000,tfidf_skip,0.1902,0.2475,0.1238,0.3053,0.2596,61/100
news,5000,tfidf_gap,0.1902,0.2475,0.1238,0.3053,0.2596,61/100
news,5000,tfidf_gzip,0.2,0.2627,0.1314,0.3284,0.277,59/100
news,5000,tfidf_threshold,0.1966,0.261,0.1305,0.3199,0.2742,59/100
news,5000,tfidf_earlystop,0.2,0.2627,0.1314,0.3284,0.277,59/100
news,10000,boolean_custom,0.1079,0.1302,0.0651,0.1933,0.1438,63/100
news,10000,wordcount_custom,0.1302,0.1698,0.0849,0.2329,0.1835,63/100
news,10000,tfidf_custom,0.146,0.1984,0.0992,0.2615,0.2121,63/100
news,10000,tfidf_rocksdb,0.1133,0.1411,0.0706,0.1592,0.1455,90/100
news,10000,tfidf_skip,0.1281,0.1812,0.0906,0.2171,0.1896,64/100
news,10000,tfidf_gap,0.1281,0.1812,0.0906,0.2171,0.1896,64/100
news,10000,tfidf_gzip,0.146,0.1984,0.0992,0.2615,0.2121,63/100
news,10000,tfidf_threshold,0.1429,0.1968,0.0984,0.2562,0.2096,63/100
news,10000,tfidf_earlystop,0.146,0.1984,0.0992,0.2615,0.2121,63/100
wiki,1000,boolean_custom,0.08,0.0982,0.0491,0.1591,0.1081,55/100
wiki,1000,wordcount_custom,0.2145,0.2836,0.1418,0.3445,0.2935,55/100
wiki,1000,tfidf_custom,0.3709,0.3982,0.1991,0.4591,0.4081,55/100
wiki,1000,tfidf_rocksdb,0.2659,0.3011,0.1505,0.3361,0.3072,91/100
wiki,1000,tfidf_skip,0.3357,0.3768,0.1884,0.3839,0.378,56/100
wiki,1000,tfidf_gap,0.3357,0.3768,0.1884,0.3839,0.378,56/100
wiki,1000,tfidf_gzip,0.3709,0.3982,0.1991,0.4591,0.4081,55/100
wiki,1000,tfidf_threshold,0.3709,0.3982,0.1991,0.4591,0.4081,55/100
wiki,1000,tfidf_earlystop,0.3709,0.3982,0.1991,0.4591,0.4081,55/100
wiki,5000,boolean_custom,0.0542,0.0424,0.0212,0.1011,0.0511,59/100
wiki,5000,wordcount_custom,0.1593,0.1475,0.0737,0.2062,0.1562,59/100
wiki,5000,tfidf_custom,0.2373,0.2407,0.1203,0.2994,0.2494,59/100
wiki,5000,tfidf_rocksdb,0.2065,0.2075,0.1038,0.2257,0.2105,93/100
wiki,5000,tfidf_skip,0.2,0.2117,0.1058,0.2143,0.2127,60/100
wiki,5000,tfidf_gap,0.2,0.2117,0.1058,0.2143,0.2127,60/100
wiki,5000,tfidf_gzip,0.2373,0.2407,0.1203,0.2994,0.2494,59/100
wiki,5000,tfidf_threshold,0.2373,0.2407,0.1203,0.2994,0.2494,59/100
wiki,5000,tfidf_earlystop,0.2373,0.2407,0.1203,0.2994,0.2494,59/100
wiki,10000,boolean_custom,0.0407,0.0407,0.0203,0.0876,0.0476,59/100
wiki,10000,wordcount_custom,0.1051,0.1186,0.0593,0.1655,0.1256,59/100
wiki,10000,tfidf_custom,0.1627,0.1966,0.0983,0.2435,0.2035,59/100
wiki,10000,tfidf_rocksdb,0.1591,0.157,0.0785,0.1724,0.1593,93/100
wiki,10000,tfidf_skip,0.13,0.1667,0.0833,0.1689,0.1675,60/100
wiki,10000,tfidf_gap,0.13,0.1667,0.0833,0.1689,0.1675,60/100
wiki,10000,tfidf_gzip,0.1627,0.1966,0.0983,0.2435,0.2035,59/100
wiki,10000,tfidf_threshold,0.1627,0.1966,0.0983,0.2435,0.2035,59/100
wiki,10000,tfidf_earlystop,0.1627,0.1966,0.0983,0.2435,0.2035,59/100
